이름,연도,연봉(만원),생년월일,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,RISP
김선빈,2017,45000,19891218,0.37,137,529,476,84,176,34,1,5,227,64,5,4,39,4,5,40,10,0.477,0.42,0.897,0.382
박건우,2017,190000,19900908,0.366,131,543,483,91,177,40,2,20,281,78,5,4,41,2,10,64,15,0.582,0.424,1.006,0.353
박민우,2017,41000,19930206,0.363,106,452,388,84,141,25,4,3,183,47,3,4,46,0,11,51,8,0.472,0.441,0.913,0.356
나성범,2017,200000,19891003,0.347,125,561,498,103,173,42,2,24,291,99,0,3,48,10,12,116,8,0.584,0.415,0.999,0.345
최형우,2017,90000,19831216,0.342,142,629,514,98,176,36,3,26,296,120,0,8,96,8,11,82,15,0.576,0.45,1.026,0.368
김재환,2017,150000,19880922,0.34,144,636,544,110,185,34,2,35,328,115,0,4,81,10,7,123,8,0.603,0.429,1.032,0.342
손아섭,2017,150000,19880318,0.335,144,667,576,113,193,35,4,20,296,80,1,3,83,8,4,96,7,0.514,0.42,0.934,0.29
서건창,2017,26000,19890822,0.332,139,615,539,87,179,28,3,6,231,76,2,6,67,1,1,68,11,0.429,0.403,0.832,0.365
이명기,2017,17500,19871216,0.332,115,512,464,79,154,24,4,9,213,63,14,3,28,0,3,57,2,0.459,0.371,0.83,0.383
이정후,2017,75000,19980820,0.332,139,615,539,87,179,28,3,6,231,76,2,6,60,2,6,67,9,0.417,0.395,0.812,0.321
전준우,2017,50000,19860225,0.321,110,496,455,76,146,27,1,18,229,69,2,2,30,2,7,70,11,0.503,0.37,0.873,0.325
이대호,2017,80000,19820621,0.32,142,608,540,73,173,13,0,34,288,111,0,3,50,8,15,84,22,0.533,0.391,0.924,0.341
최정,2017,120000,19870228,0.316,130,527,430,89,136,18,1,46,294,113,0,8,70,10,19,107,8,0.684,0.427,1.111,0.388
안치홍,2017,100000,19970702,0.316,132,545,487,95,154,29,2,21,250,93,6,5,43,1,4,70,19,0.513,0.373,0.886,0.319
고종욱,2017,7000,19890111,0.312,123,453,426,70,133,24,8,8,197,54,0,2,22,2,3,92,11,0.462,0.349,0.811,0.288
구자욱,2017,250000,19930212,0.31,144,647,564,108,175,39,10,21,297,107,0,10,63,1,10,138,1,0.527,0.383,0.91,0.352
오재일,2017,60000,19861029,0.306,128,466,412,62,126,27,0,26,231,89,1,3,45,0,5,80,5,0.561,0.378,0.939,0.315
강한울,2017,10000,19910912,0.303,135,448,412,58,125,9,3,0,140,24,9,1,26,0,0,57,4,0.34,0.344,0.684,0.24
김현수,2018,150000,19880112,0.362,117,511,453,95,164,39,2,20,267,101,0,10,47,6,1,61,9,0.589,0.415,1.004,0.419
양의지,2018,100000,19870605,0.358,133,503,439,84,157,29,1,23,257,77,0,6,45,6,13,40,13,0.585,0.427,1.012,0.317
이정후,2018,75000,19980820,0.355,109,520,459,81,163,34,2,6,219,57,3,8,42,3,8,58,5,0.477,0.412,0.889,0.37
박병호,2018,60000,19870710,0.345,113,488,400,88,138,20,0,43,287,112,0,3,68,10,17,114,9,0.718,0.457,1.175,0.312
안치홍,2018,100000,19970702,0.342,130,549,494,88,169,38,1,23,278,118,0,9,36,1,10,57,13,0.563,0.392,0.955,0.403
전준우,2018,50000,19860225,0.342,144,614,556,118,190,36,2,33,329,90,1,2,48,1,7,82,12,0.592,0.4,0.992,0.379
최형우,2018,90000,19831216,0.339,143,609,528,92,179,34,1,25,290,103,0,8,66,7,7,87,17,0.549,0.414,0.963,0.342
김재환,2018,150000,19880922,0.334,139,602,527,104,176,36,1,44,346,133,0,7,59,4,9,134,6,0.657,0.405,1.062,0.295
최주환,2018,65000,19880228,0.333,138,590,519,87,173,39,6,26,302,108,0,10,51,1,10,89,5,0.582,0.397,0.979,0.368
이대호,2018,80000,19820621,0.333,144,604,543,81,181,30,0,37,322,125,0,4,43,7,14,75,18,0.593,0.394,0.987,0.307
구자욱,2018,250000,19930212,0.333,116,529,478,100,159,26,5,20,255,84,1,2,43,2,5,110,4,0.533,0.392,0.925,0.378
채은성,2018,28000,19900206,0.331,139,578,529,78,175,36,2,25,290,119,0,5,35,1,9,97,12,0.548,0.379,0.927,0.362
이재원,2018,100000,19880224,0.329,130,471,407,63,134,24,0,17,209,57,4,5,43,0,12,65,13,0.514,0.405,0.919,0.308
손아섭,2018,150000,19880318,0.329,141,625,553,109,182,32,5,26,302,93,1,1,68,1,2,99,15,0.546,0.404,0.95,0.36
박건우,2018,190000,19900908,0.326,125,529,488,79,159,24,6,12,231,84,1,2,28,1,10,65,14,0.473,0.373,0.846,0.373
허경민,2018,120000,19900826,0.324,133,577,516,85,167,30,5,10,237,79,5,8,32,0,16,52,15,0.459,0.376,0.835,0.35
박민우,2018,41000,19930206,0.324,115,460,411,68,133,22,5,5,180,33,3,4,32,3,10,51,4,0.438,0.383,0.821,0.362
나성범,2018,200000,19891003,0.318,144,620,556,110,177,36,3,23,288,91,0,5,44,4,15,131,11,0.518,0.381,0.899,0.319
이형종,2018,12000,19890607,0.316,118,485,437,83,138,27,0,13,204,42,5,0,31,0,12,82,6,0.467,0.377,0.844,0.292
오재원,2018,30000,19850209,0.313,132,521,473,78,148,24,1,15,219,81,3,2,41,0,2,119,13,0.463,0.369,0.832,0.338
노수광,2018,12840,19900806,0.313,135,588,515,93,161,21,8,8,222,53,9,3,48,0,13,86,3,0.431,0.383,0.814,0.316
김재호,2018,50000,19850321,0.311,131,467,402,78,125,20,0,16,193,75,3,6,52,1,4,77,12,0.48,0.39,0.87,0.35
양의지,2019,100000,19870605,0.354,118,459,390,61,138,26,0,20,224,68,0,6,48,4,15,43,13,0.574,0.438,1.012,0.364
페르난데스,2019,82125,19880427,0.344,144,645,572,87,197,34,0,15,276,88,0,6,61,4,6,54,16,0.483,0.409,0.892,0.313
박민우,2019,41000,19930206,0.344,125,526,468,89,161,23,8,1,203,45,2,6,41,1,9,40,10,0.434,0.403,0.837,0.333
이정후,2019,75000,19980820,0.336,140,630,574,91,193,31,10,6,262,68,3,4,45,0,4,40,15,0.456,0.386,0.842,0.307
강백호,2019,55000,19990729,0.336,116,505,438,72,147,29,1,13,217,65,0,4,61,4,2,87,11,0.495,0.416,0.911,0.284
고종욱,2019,7000,19890111,0.323,137,513,492,76,159,25,7,3,207,56,0,2,18,1,1,89,5,0.421,0.347,0.768,0.341
박건우,2019,190000,19900908,0.319,127,537,458,83,146,27,5,10,213,64,1,11,60,0,7,57,23,0.465,0.397,0.862,0.284
채은성,2019,28000,19900206,0.315,128,514,470,59,148,18,1,12,204,72,0,8,24,1,12,67,9,0.434,0.358,0.792,0.331
이천웅,2019,10000,19881020,0.308,138,613,546,88,168,24,3,2,204,48,4,1,57,1,5,82,13,0.374,0.378,0.752,0.333
김현수,2019,150000,19880112,0.304,140,595,526,75,160,37,0,11,230,82,0,9,54,9,6,52,11,0.437,0.37,0.807,0.329
전준우,2019,50000,19860225,0.301,141,606,545,85,164,30,1,22,262,83,1,7,46,2,7,71,19,0.481,0.359,0.84,0.279
서건창,2019,26000,19890822,0.3,113,486,426,67,128,23,3,2,163,41,3,5,49,1,3,50,5,0.383,0.373,0.756,0.344
최형우,2019,90000,19831216,0.3,136,555,456,65,137,31,1,17,221,86,0,7,85,6,7,77,13,0.485,0.413,0.898,0.263
김헌곤,2019,18000,19881109,0.297,114,467,411,57,122,20,1,5,159,46,5,6,37,1,8,41,18,0.387,0.361,0.748,0.313
손아섭,2019,150000,19880318,0.295,134,568,512,78,151,22,1,10,205,63,1,2,52,1,1,92,6,0.4,0.36,0.76,0.293
이명기,2019,17500,19871216,0.293,139,547,484,62,142,17,3,2,171,36,7,4,48,2,4,66,12,0.353,0.359,0.712,0.269
오재일,2019,60000,19861029,0.293,130,529,467,76,137,29,1,21,231,102,0,4,55,1,3,99,5,0.495,0.369,0.864,0.344
최형우,2020,90000,19831216,0.354,140,600,522,93,185,37,1,28,308,115,0,3,70,5,5,101,9,0.59,0.433,1.023,0.374
손아섭,2020,150000,19880318,0.352,141,611,540,98,190,43,0,11,266,85,1,7,61,4,2,56,9,0.493,0.415,0.908,0.333
박민우,2020,41000,19930206,0.345,126,530,467,82,161,27,5,8,222,63,2,10,36,2,15,48,12,0.475,0.402,0.877,0.388
페르난데스,2020,82125,19880427,0.34,144,668,586,104,199,29,0,21,291,105,0,11,58,1,13,42,26,0.497,0.404,0.901,0.327
이정후,2020,75000,19980820,0.333,140,617,544,85,181,49,5,15,285,101,2,8,59,6,4,47,16,0.524,0.397,0.921,0.354
김현수,2020,150000,19880112,0.331,142,619,547,98,181,35,2,22,286,119,0,7,63,7,2,53,9,0.523,0.397,0.92,0.446
강백호,2020,55000,19990729,0.33,129,574,500,95,165,36,1,23,272,89,0,3,66,9,5,93,7,0.544,0.411,0.955,0.32
양의지,2020,100000,19870605,0.328,130,528,461,86,151,26,1,33,278,124,1,6,46,7,14,47,11,0.603,0.4,1.003,0.425
나성범,2020,200000,19891003,0.324,130,584,525,115,170,37,2,34,313,112,0,1,49,2,9,148,6,0.596,0.39,0.986,0.338
황재균,2020,40000,19870728,0.312,134,600,541,108,169,35,5,21,277,97,3,4,47,0,5,98,12,0.512,0.37,0.882,0.324
김동엽,2020,15000,19900724,0.312,115,451,413,60,129,21,0,20,210,74,1,4,29,0,4,79,14,0.508,0.36,0.868,0.315
오재일,2020,60000,19861029,0.312,127,534,471,62,147,32,0,16,227,89,0,2,61,1,0,92,12,0.482,0.39,0.872,0.376
구자욱,2020,250000,19930212,0.307,118,510,446,70,137,27,2,15,213,78,1,4,51,3,8,91,4,0.478,0.385,0.863,0.336
최주환,2020,65000,19880228,0.306,140,574,509,63,156,29,4,16,241,88,1,10,47,5,7,66,7,0.473,0.366,0.839,0.349
박석민,2020,70000,19850622,0.306,123,448,356,58,109,15,0,14,166,63,2,4,75,2,10,62,11,0.466,0.436,0.902,0.327
이명기,2020,17500,19871216,0.306,136,540,477,82,146,18,3,2,176,45,5,4,50,0,4,78,6,0.369,0.374,0.743,0.311
김상수,2020,25000,19900323,0.304,120,471,404,71,123,18,3,5,162,47,2,2,55,1,8,55,16,0.401,0.397,0.798,0.311
박건우,2020,190000,19900908,0.304,129,551,487,103,148,40,0,14,230,70,3,7,42,2,12,65,9,0.472,0.369,0.841,0.28
오지환,2020,60000,19900312,0.3,141,591,527,95,158,41,7,10,243,71,5,5,45,1,9,116,4,0.461,0.362,0.823,0.293
정수빈,2020,60000,19901007,0.298,141,559,490,84,146,17,8,5,194,59,7,5,55,3,2,56,10,0.396,0.368,0.764,0.265
조용호,2020,24000,19890909,0.296,132,482,409,73,121,15,0,0,136,32,5,2,64,1,2,83,6,0.333,0.392,0.725,0.317
정훈,2020,55000,19870718,0.295,111,476,410,72,121,19,1,11,175,58,2,4,56,0,4,85,8,0.427,0.382,0.809,0.357
채은성,2020,28000,19900206,0.293,109,464,416,59,122,17,2,15,188,88,0,7,32,1,9,69,12,0.452,0.351,0.803,0.352
이대호,2020,80000,19820621,0.292,144,611,542,67,158,27,0,20,245,110,0,11,53,9,5,68,21,0.452,0.354,0.806,0.323
나지완,2020,15000,19850519,0.291,137,556,468,73,136,19,1,17,208,92,0,6,64,1,18,114,6,0.444,0.392,0.836,0.338
박해민,2020,60000,19900224,0.29,132,541,489,84,142,18,5,11,203,55,7,3,39,1,3,77,7,0.415,0.345,0.76,0.294
이정후,2021,75000,19980820,0.36,123,544,464,78,167,42,6,7,242,84,0,9,1,62,1,9,37,8,0.522,0.438,0.341
전준우,2021,50000,19860225,0.348,144,619,552,88,192,46,0,7,259,92,1,8,2,53,0,5,71,10,0.469,0.405,0.416
강백호,2021,55000,19990729,0.347,142,627,516,76,179,40,1,16,269,102,0,8,3,103,10,0,85,7,0.521,0.45,0.34
홍창기,2021,32000,19931121,0.328,144,651,524,103,172,26,2,4,214,52,0,2,4,109,4,16,95,6,0.408,0.456,0.343
박건우,2021,190000,19900908,0.325,126,525,458,82,149,31,2,6,202,63,0,6,5,50,2,11,72,16,0.441,0.4,0.325
양의지,2021,100000,19870605,0.325,141,570,480,81,156,29,2,30,279,111,0,10,6,69,5,11,60,12,0.581,0.414,0.374
손아섭,2021,150000,19880318,0.319,139,610,542,88,173,29,2,3,215,58,3,1,7,61,3,3,67,15,0.397,0.39,0.318
페르난데스,2021,82125,19880427,0.315,141,617,540,73,170,24,0,15,239,81,0,6,8,65,3,6,35,25,0.443,0.391,0.279
김선빈,2021,45000,19891218,0.307,130,564,501,55,154,32,0,5,201,67,1,5,9,56,2,1,39,19,0.401,0.375,0.32
안치홍,2021,100000,19970702,0.306,119,490,421,58,129,30,2,10,193,82,5,9,10,52,2,3,58,10,0.458,0.379,0.359
구자욱,2021,250000,19930212,0.306,139,610,543,107,166,30,10,22,282,88,1,12,11,48,3,6,98,9,0.519,0.361,0.283
김혜성,2021,32000,19990127,0.304,144,635,559,99,170,20,3,3,205,66,0,10,12,65,3,1,97,8,0.367,0.372,0.289
박성한,2021,14000,19980330,0.302,135,471,407,53,123,21,1,4,158,44,12,2,13,49,0,1,73,1,0.388,0.377,0.298
이용규,2021,40000,19850826,0.296,133,547,459,88,136,16,8,1,171,43,6,6,14,71,2,5,46,5,0.373,0.392,0.276
최원준,2021,13000,19970323,0.295,143,668,589,82,174,21,6,4,219,44,4,3,15,61,0,11,68,7,0.372,0.37,0.264
정훈,2021,55000,19870718,0.292,135,561,486,70,142,27,1,14,213,79,1,3,16,68,8,3,89,6,0.438,0.38,0.24
황재균,2021,40000,19870728,0.291,117,507,453,74,132,16,2,10,182,56,1,4,17,46,1,3,92,11,0.402,0.358,0.289
박해민,2021,60000,19900224,0.291,127,542,454,78,132,22,1,5,171,54,9,7,18,69,2,3,82,3,0.377,0.383,0.327
강민호,2021,60000,19850818,0.291,123,462,406,55,118,22,0,18,194,67,0,7,19,45,4,4,53,18,0.478,0.361,0.25
이대호,2021,80000,19820621,0.286,114,465,420,39,120,11,0,19,188,81,0,6,20,34,3,5,50,12,0.448,0.342,0.256
피렐라,2021,82125,19891121,0.286,140,621,553,102,158,25,2,29,274,97,0,3,20,57,2,8,89,8,0.495,0.359,0.288
오재일,2021,60000,19861029,0.285,120,484,418,64,119,20,0,25,214,97,0,8,22,58,8,0,106,5,0.512,0.366,0.276
김현수,2021,150000,19880112,0.285,140,595,506,70,144,23,1,17,220,96,0,9,23,77,5,3,42,7,0.435,0.376,0.279
정은원,2021,19080,20000117,0.283,139,608,495,85,140,22,5,6,190,39,4,3,24,105,1,1,105,9,0.384,0.407,0.312
나성범,2021,200000,19891003,0.281,144,623,570,96,160,29,1,33,290,101,0,4,25,38,2,11,155,5,0.509,0.335,0.263
한유섬,2021,240000,19890809,0.278,135,519,442,71,123,18,1,31,236,95,1,6,27,60,4,10,96,11,0.534,0.373,0.304
허경민,2021,120000,19900826,0.278,136,518,468,61,130,24,1,5,171,59,3,3,28,36,1,8,35,21,0.365,0.338,0.285
최정,2021,120000,19870228,0.278,134,555,436,92,121,17,1,35,245,100,1,12,29,84,3,22,102,9,0.562,0.41,0.281
채은성,2021,28000,19900206,0.276,110,448,387,59,107,20,0,16,175,82,0,7,30,38,2,16,80,9,0.452,0.359,0.317
