이름,연도,연봉(만원),생년월일,ERA,G,W,L,SV,HLD,WPCT,H,HR,BB,HBP,SO,R,ER,WHIP
장원준,2017,"5,000",19850731,3.14,29,14,9,0,0,0.609,172,12,51,14,125,70,63,1.24
차우찬,2017,"30,000",19870531,3.43,28,10,7,0,0,0.588,171,20,38,7,157,75,67,1.19
양현종,2017,"100,000",19880301,3.44,31,20,6,0,0,0.769,209,17,45,0,158,88,74,1.31
박세웅,2017,"26,000",19951130,3.68,28,12,6,0,0,0.667,170,21,56,9,117,74,70,1.32
박종훈,2017,"180,000",19910813,4.1,29,12,7,0,1,0.632,145,16,61,25,107,74,69,1.36
최원태,2017,"31,000",19970107,4.46,25,11,7,0,0,0.611,161,19,34,12,126,76,74,1.31
문승원,2017,"160,000",19891128,5.33,29,6,12,0,0,0.333,181,25,54,11,86,98,92,1.51
이용찬,2018,"40,000",19890102,3.63,25,15,3,0,0,0.833,151,14,36,8,102,62,58,1.3
양현종,2018,"100,000",19880301,4.15,29,13,11,0,0,0.542,199,21,43,2,152,88,85,1.31
박종훈,2018,"180,000",19910813,4.18,30,14,8,0,0,0.636,158,16,54,20,133,81,74,1.33
문승원,2018,"160,000",19891128,4.6,31,8,9,1,1,0.471,180,24,37,4,122,86,77,1.44
이재학,2018,"18,000",19901004,4.79,29,5,13,0,0,0.278,157,13,49,10,116,87,81,1.35
한현희,2018,"25,000",19930625,4.79,30,11,7,0,0,0.611,208,22,49,20,105,98,90,1.52
임찬규,2018,"20,000",19921120,5.77,29,11,11,1,0,0.5,195,23,47,13,125,104,94,1.65
차우찬,2018,"30,000",19870531,6.09,29,12,10,0,0,0.545,177,27,79,10,136,119,115,1.51
김원중,2018,"28,000",19930614,6.94,30,8,7,0,0,0.533,173,28,77,11,137,115,112,1.72
양현종,2019,"100,000",19880301,2.29,29,16,8,0,0,0.667,165,6,33,2,163,56,47,1.07
김광현,2019,"810,000",19880722,2.51,31,17,6,0,0,0.739,198,13,38,2,180,64,53,1.24
켈리,2019,"123,187",19891004,2.55,29,14,12,0,0,0.538,164,7,41,16,126,70,51,1.14
루친스키,2019,"219,000",19881230,3.05,30,9,9,0,0,0.5,164,13,45,11,119,68,60,1.18
요키시,2019,"123,187",19890729,3.13,30,13,9,0,0,0.591,166,9,39,11,141,72,63,1.13
최원태,2019,"31,000",19970107,3.38,27,11,5,0,0,0.688,165,5,36,5,105,68,59,1.28
쿠에바스,2019,"94,960",19901014,3.62,30,13,10,0,0,0.565,153,18,63,12,135,80,74,1.17
이영하,2019,"16,000",19971101,3.64,29,17,4,0,0,0.81,148,5,61,10,90,70,66,1.28
문승원,2020,"160,000",19891128,3.88,26,11,7,0,2,0.611,130,23,33,3,99,63,62,1.13
박종훈,2019,"180,000",19910813,3.88,28,8,11,0,0,0.421,157,12,59,13,100,72,62,1.5
이용찬,2019,"40,000",19890102,4.07,26,7,10,0,0,0.412,168,15,45,6,102,75,67,1.44
차우찬,2019,"30,000",19870531,4.12,29,13,8,0,0,0.619,181,16,59,5,124,87,77,1.43
백정현,2019,"80,000",19870713,4.24,28,8,10,0,0,0.444,158,17,56,6,82,85,74,1.36
김민,2019,"5,500",19990414,4.96,27,6,12,0,0,0.333,175,16,65,4,91,88,83,1.59
요키시,2020,"123,187",19890729,2.14,27,12,7,0,0,0.632,144,6,25,6,115,53,38,1.06
스트레일리,2020,"54,750",19881201,2.5,31,15,4,0,0,0.789,148,10,51,7,205,61,54,1.02
루친스키,2020,"219,000",19881230,3.05,30,19,5,0,0,0.792,173,14,57,11,167,67,62,1.26
켈리,2020,"123,187",19891004,3.32,28,15,7,0,0,0.682,160,16,40,11,134,67,64,1.15
뷰캐넌,2020,"150,562",19890511,3.45,27,15,7,0,0,0.682,172,16,50,7,121,71,67,1.27
최재흥,2020,"15,000",19950122,3.58,26,11,6,0,0,0.647,131,12,51,7,123,67,58,1.25
문승원,2020,"160,000",19891128,3.65,25,6,8,0,0,0.429,136,13,45,6,117,64,59,1.24
임찬규,2020,"20,000",19921120,4.08,27,10,9,0,0,0.526,143,14,65,5,138,76,67,1.41
쿠에바스,2020,"94,960",19901014,4.1,27,10,8,0,0,0.556,152,16,46,9,110,80,72,1.25
데스파이네,2020,"95,812",19870404,4.33,35,15,8,0,0,0.652,233,18,68,8,152,105,100,1.45
양현종,2020,"100,000",19880301,4.7,31,11,10,0,0,0.524,180,13,64,5,149,99,90,1.42
박세웅,2020,"26,000",19951130,4.7,28,8,10,0,0,0.444,177,20,47,8,108,85,77,1.52
박종훈,2020,"180,000",19910813,4.81,29,13,11,0,0,0.542,146,14,78,22,134,90,84,1.42
미란다,2021,"219,000",19890110,2.33,28,14,5,0,0,0.737,135,11,63,1,225,49,45,1.14
백정현,2021,"80,000",19870713,2.63,27,14,5,0,0,0.737,142,15,54,2,109,54,46,1.24
고영표,2021,"30,000",19910916,2.92,26,11,6,0,1,0.647,147,9,27,14,130,59,54,1.04
요키시,2021,"123,187",19890729,2.93,31,16,9,0,0,0.64,171,12,46,4,131,71,59,1.2
원태인,2021,"30,000",20000406,3.06,26,14,7,0,0,0.667,147,11,51,5,129,59,54,1.25
뷰캐넌,2021,"150,562",19890511,3.1,30,16,5,0,0,0.762,173,13,59,2,162,71,61,1.31
켈리,2021,"123,187",19891004,3.15,30,13,8,0,0,0.619,160,12,60,11,142,64,62,1.24
루친스키,2021,"219,000",19881230,3.17,30,15,10,0,0,0.6,160,12,55,10,177,76,63,1.2
킹험,2021,"95,812",19911108,3.19,25,10,8,0,0,0.556,117,11,41,5,131,58,51,1.1
최원준,2021,"34,000",19941221,3.3,29,12,4,0,0,0.75,160,15,37,10,113,65,58,1.24
데스파이네,2021,"95,812",19870404,3.39,33,13,10,0,0,0.565,175,10,78,7,165,81,71,1.34
폰트,2021,"150,562",19900524,3.46,25,8,5,0,0,0.615,114,12,45,6,157,66,56,1.09
카펜터,2021,"47,906",19900822,3.97,31,5,12,0,0,0.294,150,16,72,19,179,90,75,1.31
박세웅,2021,"26,000",19951130,3.98,28,10,9,0,0,0.526,141,20,53,10,125,75,72,1.19
김민우,2021,"19,100",19950725,4,29,14,10,0,0,0.583,131,15,76,7,125,71,69,1.33
스트레일리,2021,"54,750",19881201,4.07,31,10,12,0,0,0.455,162,12,67,7,164,85,75,1.38
신민혁,2021,"12,000",19990204,4.41,30,9,6,0,0,0.6,155,17,44,5,107,75,71,1.37
임기영,2021,"14,000",19930416,4.88,28,8,8,0,0,0.5,155,15,45,11,129,85,83,1.31
안우진,2022,"15,000",19990830,2.11,30,15,8,0,0,0.652,131,4,55,4,224,51,46,0.95
김광현,2022,"810,000",19880722,2.13,28,13,3,0,0,0.813,141,10,45,5,153,48,41,1.07
플럿코,2022,"68,437",19911003,2.39,28,15,5,0,0,0.75,125,13,38,2,149,53,43,1.01
수아레즈,2022,"95,812",19891008,2.49,30,6,8,0,0,0.429,151,7,50,4,159,61,48,1.16
켈리,2022,"123,187",19891004,2.54,27,16,4,0,0,0.8,144,10,35,2,153,50,47,1.08
요키시,2022,"123,187",19890729,2.57,30,10,8,0,0,0.556,169,8,33,5,154,61,53,1.09
폰트,2022,"150,562",19900524,2.69,28,13,6,0,0,0.684,141,18,34,6,170,63,55,0.95
루친스키,2022,"219,000",19881230,2.97,31,10,12,0,0,0.455,184,14,34,8,194,77,64,1.13
뷰캐넌,2022,"150,562",19890511,3.04,26,11,8,0,0,0.579,176,10,39,8,117,61,54,1.34
소형준,2022,"20,000",20010916,3.05,27,13,6,0,0,0.684,158,8,39,5,117,68,58,1.15
고영표,2022,"30,000",19910916,3.26,28,13,8,0,0,0.619,191,7,23,16,156,69,66,1.17
스탁,2022,"54,750",19891121,3.6,29,9,10,0,0,0.474,162,9,83,10,138,87,66,1.48
최원준,2022,"34,000",19941221,3.6,30,8,13,0,0,0.381,183,21,37,7,113,80,66,1.33
반즈,2022,"63,699",19951001,3.62,31,12,12,0,0,0.5,176,8,47,18,160,87,75,1.2
곽빈,2022,"6,500",19990528,3.78,27,8,9,0,0,0.471,143,13,60,11,138,69,62,1.37
양현종,2022,"100,000",19880301,3.85,30,12,7,0,0,0.632,170,14,50,3,141,86,75,1.25
이의리,2022,"9,000",20020616,3.86,29,10,10,0,0,0.5,128,18,74,9,161,79,66,1.31
박세웅,2022,"26,000",19951130,3.89,28,10,11,0,0,0.476,179,8,32,8,146,80,68,1.34
원태인,2022,"30,000",20000406,3.92,27,10,8,0,0,0.556,175,16,38,4,130,75,72,1.29
김민우,2022,"19,100",19950725,4.36,29,6,11,0,0,0.353,143,16,84,8,129,82,79,1.39
오원석,2022,"6,500",20010423,4.5,31,6,8,0,0,0.429,158,16,58,3,112,79,72,1.5
데스파이네,2022,"95,812",19870404,4.53,30,8,12,0,0,0.4,198,14,48,9,123,94,82,1.51
