연봉(만원),생년월일,연도,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,RISP,,,,,,
17200,19990601,2022,0.307,129,499,456,43,140,27,0,14,209,65,0,4,33,2,6,64,15,0.458,0.359,0.817,0.278,,,,,,
79102,19891121,2022,0.342,141,630,561,102,192,33,4,28,317,109,0,2,55,12,12,81,19,0.565,0.411,0.976,0.375,,,,,,
5600,19970610,2022,0.24,119,464,404,46,97,18,0,7,136,53,3,4,48,1,5,106,9,0.337,0.325,0.662,0.239,,,,,,
26000,19950428,2022,0.24,132,449,388,69,93,8,2,4,117,34,11,4,43,0,2,75,11,0.302,0.316,0.618,0.175,,,,,,
32000,19990127,2022,0.318,129,566,516,81,164,18,7,4,208,48,0,3,47,3,0,83,9,0.403,0.373,0.776,0.295,,,,,,
6800,20000719,2022,0.315,126,466,406,52,128,22,3,9,183,56,5,7,47,1,1,56,11,0.451,0.382,0.833,0.287,,,,,,
65919,19920906,2022,0.311,127,554,514,83,160,29,7,17,254,77,0,4,34,4,2,81,11,0.494,0.354,0.848,0.296,,,,,,
15000,19970723,2022,0.304,144,640,569,93,173,32,4,10,243,61,13,4,47,0,7,77,7,0.427,0.362,0.789,0.362,,,,,,
14000,19980330,2022,0.298,140,564,494,68,147,24,4,2,185,56,6,2,60,1,2,81,5,0.374,0.375,0.749,0.31,,,,,,
58008,19900627,2022,0.296,139,576,510,67,151,34,1,16,235,85,0,7,51,5,8,86,8,0.461,0.365,0.826,0.306,,,,,,
92286,19901203,2022,0.289,144,648,575,88,166,37,4,12,247,43,0,2,64,5,7,104,12,0.43,0.366,0.796,0.216,,,,,,
32000,19931121,2022,0.286,118,525,437,76,125,19,4,1,155,51,5,5,59,0,19,75,11,0.355,0.39,0.745,0.385,,,,,,
12000,20001203,2022,0.281,115,490,434,55,122,24,1,6,166,59,0,4,48,1,4,95,13,0.382,0.355,0.737,0.322,,,,,,
10500,19940113,2022,0.274,127,477,405,55,111,19,2,2,140,48,8,2,56,0,6,83,6,0.346,0.369,0.715,0.305,,,,,,
19080,20000117,2022,0.274,140,601,508,67,139,20,2,8,187,49,4,3,85,0,1,109,10,0.368,0.377,0.745,0.254,,,,,,
12000,19950605,2022,0.272,130,566,493,81,134,22,0,4,168,45,8,7,57,0,1,67,9,0.341,0.344,0.685,0.277,,,,,,
30000,19860227,2022,0.267,137,450,420,38,112,13,4,2,139,37,8,0,20,2,2,44,16,0.331,0.303,0.634,0.262,,,,,,
26000,19950612,2022,0.266,144,575,508,64,135,24,2,6,181,56,5,4,54,0,4,126,2,0.356,0.339,0.695,0.281,,,,,,
240000,19890809,2022,0.264,135,545,458,62,121,33,1,21,219,100,0,5,66,6,16,137,8,0.478,0.372,0.85,0.284,,,,,,
11500,19940209,2022,0.264,134,487,444,54,117,28,1,10,177,62,6,5,29,0,3,100,8,0.399,0.31,0.709,0.299,,,,,,
20090,19940225,2022,0.258,125,483,445,50,115,18,2,5,152,58,1,3,31,1,3,126,4,0.342,0.309,0.651,0.255,,,,,,
6500,19960210,2022,0.256,129,524,476,40,122,27,0,14,191,91,0,5,36,2,7,92,20,0.401,0.315,0.716,0.296,,,,,,
7500,19960829,2022,0.247,142,601,547,67,135,21,4,13,203,79,1,7,45,6,1,65,8,0.371,0.302,0.673,0.269,,,,,,
7000,19890707,2019,0.224,122,453,392,37,88,16,0,3,113,36,10,3,38,0,10,72,8,0.288,0.307,0.595,0.263,,,,,,
30000,19861021,2019,0.246,111,455,395,44,97,20,0,19,174,76,2,7,43,0,8,73,10,0.441,0.327,0.768,0.304,,,,,,
20000,19870309,2019,0.246,144,472,426,45,105,16,2,1,128,34,8,3,33,0,2,43,15,0.3,0.302,0.602,0.216,,,,,,
29000,19840331,2019,0.247,137,490,421,43,104,24,0,10,158,65,4,6,55,1,4,102,14,0.375,0.335,0.71,0.281,,,,,,
7000,19910304,2019,0.27,133,470,400,57,108,25,1,6,153,48,4,5,57,0,4,92,8,0.383,0.363,0.746,0.267,,,,,,
30000,19900109,2019,0.279,137,505,441,58,123,19,9,4,172,63,10,6,41,1,7,68,5,0.39,0.345,0.735,0.291,,,,,,
270000,19820713,2021,0.265,137,580,461,84,122,19,2,21,208,69,0,4,103,4,12,123,8,0.451,0.409,0.86,0.274,,,,,,
13000,19931019,2021,0.249,124,462,406,49,101,20,0,7,142,38,4,2,36,2,14,68,12,0.35,0.33,0.68,0.227,,,,,,
12000,20001203,2021,0.271,107,458,380,56,103,18,1,18,177,84,0,4,73,9,1,107,15,0.466,0.386,0.852,0.341,,,,,,
100000,19890827,2021,0.275,116,467,375,52,103,21,0,7,145,44,5,3,72,2,12,68,16,0.387,0.405,0.792,0.275,,,,,,
39000,19910715,2021,0.273,133,546,488,66,133,22,0,28,239,96,0,7,42,2,9,136,10,0.49,0.337,0.827,0.29,,,,,,
17500,19871226,2018,0.302,120,502,447,88,135,28,6,4,187,42,11,1,40,3,3,64,5,0.418,0.363,0.781,0.246,,,,,,
11500,19890321,2018,0.294,139,479,425,55,125,28,1,11,188,71,5,5,33,2,11,95,12,0.442,0.357,0.799,0.3,,,,,,
5800,19950930,2018,0.293,134,447,423,76,124,29,3,13,198,60,0,2,22,1,0,119,6,0.468,0.327,0.795,0.303,,,,,,
20000,19870309,2018,0.277,135,462,415,51,115,19,1,4,148,55,6,3,29,0,9,42,19,0.357,0.336,0.693,0.333,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
